,heartrate,watts
400,128,201.0
401,129,161.0
402,129,144.0
403,129,147.0
404,129,109.0
405,128,0.0
406,128,0.0
407,127,0.0
408,126,0.0
409,125,0.0
410,124,0.0
411,123,0.0
412,122,0.0
413,120,0.0
414,119,0.0
415,118,0.0
416,115,0.0
417,113,0.0
418,110,0.0
419,110,0.0
420,109,0.0
421,107,0.0
422,107,
423,109,114.0
424,110,235.0
425,111,344.0
426,113,287.0
427,114,267.0
428,115,228.0
429,116,235.0
430,117,123.0
431,118,252.0
432,119,233.0
433,120,239.0
434,121,235.0
435,121,266.0
436,122,188.0
437,122,200.0
438,123,203.0
439,124,213.0
440,125,198.0
441,126,197.0
442,127,199.0
443,127,185.0
444,128,198.0
445,129,181.0
446,128,174.0
447,129,202.0
448,129,178.0
449,129,160.0
450,130,132.0
451,129,0.0
452,129,0.0
453,128,0.0
454,127,0.0
455,126,0.0
456,125,0.0
457,124,0.0
458,123,0.0
459,121,0.0
460,121,0.0
461,120,0.0
462,119,0.0
463,118,0.0
464,117,0.0
465,107,
466,105,116.0
467,106,197.0
468,105,285.0
469,106,363.0
470,107,211.0
471,108,251.0
472,109,251.0
473,109,211.0
474,110,247.0
475,110,236.0
476,111,228.0
477,112,202.0
478,113,166.0
479,114,54.0
480,115,54.0
481,116,54.0
482,116,212.0
483,118,234.0
484,119,254.0
485,120,210.0
486,120,226.0
487,122,199.0
488,123,196.0
489,123,187.0
490,124,192.0
491,124,194.0
492,124,212.0
493,124,211.0
494,124,217.0
495,125,222.0
496,125,206.0
497,125,148.0
498,125,163.0
499,125,179.0
500,126,172.0
501,126,160.0
502,127,161.0
503,127,156.0
504,128,149.0
505,128,160.0
506,128,183.0
507,128,170.0
508,128,184.0
509,128,185.0
510,128,173.0
511,128,184.0
512,129,150.0
513,129,158.0
514,128,136.0
515,128,104.0
516,128,1.0
517,127,1.0
518,127,0.0
519,126,0.0
520,125,0.0
521,125,0.0
522,123,0.0
523,122,0.0
524,120,0.0
525,118,0.0
526,116,0.0
527,115,0.0
528,114,0.0
529,114,0.0
530,112,0.0
531,111,0.0
532,111,0.0
533,111,0.0
534,111,0.0
535,110,0.0
536,104,
537,106,365.0
538,107,360.0
539,109,121.0
540,111,342.0
541,114,252.0
542,116,278.0
543,117,279.0
544,119,190.0
545,120,229.0
546,121,194.0
547,122,177.0
548,122,148.0
549,123,182.0
550,123,189.0
551,124,23.0
552,123,23.0
553,123,5.0
554,122,5.0
555,122,5.0
556,122,57.0
557,121,119.0
558,121,118.0
559,121,23.0
560,121,23.0
561,120,23.0
562,120,213.0
563,120,320.0
564,120,269.0
565,121,259.0
566,121,259.0
567,122,247.0
568,122,241.0
569,123,214.0
570,124,173.0
571,125,218.0
572,125,229.0
573,127,195.0
574,127,206.0
575,128,183.0
576,129,171.0
577,129,176.0
578,129,179.0
579,130,184.0
580,130,193.0
581,129,260.0
582,129,160.0
583,130,202.0
584,129,182.0
585,130,161.0
586,130,169.0
587,129,202.0
588,129,188.0
589,128,172.0
590,128,168.0
591,128,166.0
592,128,170.0
593,129,182.0
594,129,167.0
595,129,166.0
596,129,154.0
597,129,246.0
598,129,206.0
599,129,192.0
600,129,175.0
601,130,179.0
602,130,177.0
603,130,180.0
604,130,182.0
605,131,194.0
606,131,182.0
607,131,171.0
608,131,192.0
609,131,187.0
610,131,190.0
611,131,178.0
612,132,184.0
613,132,187.0
614,132,186.0
615,132,184.0
616,132,205.0
617,132,194.0
618,132,210.0
619,131,211.0
620,131,212.0
621,131,212.0
622,131,197.0
623,131,200.0
624,131,185.0
625,130,185.0
626,130,178.0
627,130,196.0
628,130,212.0
629,130,201.0
630,130,215.0
631,130,209.0
632,129,198.0
633,130,153.0
634,130,158.0
635,130,161.0
636,130,160.0
637,130,152.0
638,130,146.0
639,130,143.0
640,130,126.0
641,130,129.0
642,130,129.0
643,129,161.0
644,129,209.0
645,129,197.0
646,129,172.0
647,129,181.0
648,129,176.0
649,130,176.0
650,130,196.0
651,131,191.0
652,131,202.0
653,132,209.0
654,132,205.0
655,131,200.0
656,130,185.0
657,130,178.0
658,129,196.0
659,129,172.0
660,129,153.0
661,129,135.0
662,129,144.0
663,129,0.0
664,128,0.0
665,128,0.0
666,127,0.0
667,127,72.0
668,127,194.0
669,127,190.0
670,127,183.0
671,127,168.0
672,127,166.0
673,128,158.0
674,128,141.0
675,129,146.0
676,129,160.0
677,128,152.0
678,128,168.0
679,128,180.0
680,128,173.0
681,128,178.0
682,129,185.0
683,128,165.0
684,129,174.0
685,128,169.0
686,128,150.0
687,128,154.0
688,128,163.0
689,128,161.0
690,129,163.0
691,129,145.0
692,129,190.0
693,130,178.0
694,130,186.0
695,130,182.0
696,130,179.0
697,130,176.0
698,130,193.0
699,130,196.0
700,129,194.0
701,130,180.0
702,129,186.0
703,129,182.0
704,129,196.0
705,129,176.0
706,129,207.0
707,128,201.0
708,128,210.0
709,128,231.0
710,127,233.0
711,127,226.0
712,128,195.0
713,128,195.0
714,128,191.0
715,129,231.0
716,129,200.0
717,130,188.0
718,130,167.0
