heartrate,watts
108,212.0
109,239.0
110,283.0
112,269.0
113,243.0
114,230.0
116,227.0
117,211.0
119,216.0
120,216.0
122,232.0
124,227.0
125,224.0
126,240.0
127,212.0
127,210.0
128,216.0
129,204.0
130,220.0
131,236.0
131,144.0
132,158.0
132,178.0
132,167.0
132,165.0
132,172.0
132,159.0
132,153.0
132,153.0
132,173.0
131,161.0
131,157.0
131,151.0
131,165.0
131,164.0
131,158.0
130,175.0
130,173.0
130,163.0
130,169.0
129,163.0
129,145.0
129,129.0
129,70.0
128,34.0
127,156.0
127,187.0
127,167.0
126,203.0
126,198.0
126,203.0
126,179.0
127,199.0
127,199.0
127,196.0
127,168.0
127,178.0
127,157.0
126,257.0
126,182.0
127,172.0
127,169.0
127,182.0
127,163.0
128,179.0
128,140.0
128,163.0
128,182.0
128,155.0
128,179.0
127,183.0
127,165.0
127,316.0
127,267.0
127,239.0
127,179.0
128,197.0
128,178.0
128,175.0
129,165.0
129,226.0
129,168.0
129,182.0
129,184.0
129,180.0
128,186.0
129,185.0
128,185.0
128,172.0
128,170.0
128,186.0
128,189.0
127,188.0
127,188.0
127,202.0
127,179.0
126,189.0
126,204.0
126,193.0
126,204.0
127,195.0
128,217.0
128,216.0
128,188.0
129,191.0
129,191.0
129,176.0
128,193.0
128,176.0
127,176.0
127,177.0
126,187.0
126,183.0
126,187.0
127,195.0
127,186.0
127,176.0
127,207.0
127,167.0
126,170.0
126,181.0
126,191.0
126,178.0
125,183.0
125,180.0
125,193.0
124,188.0
125,189.0
124,173.0
124,189.0
124,189.0
124,201.0
125,209.0
125,198.0
125,193.0
125,196.0
126,189.0
126,172.0
127,189.0
127,194.0
126,202.0
127,192.0
126,185.0
126,181.0
126,212.0
127,188.0
126,183.0
127,183.0
127,188.0
126,193.0
126,203.0
126,187.0
127,195.0
127,177.0
126,201.0
126,183.0
126,188.0
126,185.0
127,176.0
126,207.0
125,181.0
125,180.0
126,187.0
125,190.0
126,176.0
126,175.0
126,179.0
127,194.0
128,180.0
128,179.0
128,195.0
128,214.0
127,214.0
128,183.0
127,199.0
128,168.0
127,177.0
127,159.0
127,175.0
127,198.0
127,183.0
126,172.0
126,163.0
126,186.0
126,174.0
127,178.0
127,182.0
126,185.0
126,185.0
126,177.0
126,164.0
126,187.0
126,203.0
126,203.0
126,190.0
126,195.0
126,177.0
125,162.0
126,184.0
126,196.0
126,190.0
126,190.0
126,191.0
126,180.0
126,187.0
126,179.0
127,186.0
127,159.0
127,161.0
127,178.0
126,185.0
126,170.0
127,173.0
127,173.0
127,168.0
126,181.0
126,174.0
126,182.0
126,190.0
126,192.0
126,197.0
126,170.0
126,149.0
126,148.0
126,171.0
126,166.0
126,188.0
127,174.0
126,183.0
126,184.0
126,184.0
125,176.0
125,187.0
125,177.0
125,172.0
125,174.0
126,173.0
126,177.0
127,179.0
127,182.0
128,181.0
128,187.0
128,199.0
128,189.0
128,191.0
128,186.0
127,179.0
127,189.0
127,176.0
128,184.0
128,179.0
128,187.0
128,179.0
128,158.0
128,166.0
128,161.0
127,163.0
128,172.0
128,172.0
128,178.0
128,174.0
128,174.0
128,176.0
128,132.0
127,12.0
127,12.0
126,12.0
126,168.0
126,164.0
126,159.0
126,150.0
126,57.0
125,0.0
125,0.0
125,0.0
124,45.0
124,272.0
123,231.0
122,193.0
121,201.0
120,194.0
120,178.0
120,171.0
120,179.0
120,198.0
120,202.0
120,195.0
121,144.0
122,128.0
122,128.0
123,109.0
123,0.0
122,0.0
122,0.0
121,0.0
120,0.0
118,0.0
118,59.0
117,36.0
117,36.0
117,119.0
118,245.0
118,230.0
118,197.0
119,167.0
118,19.0
118,19.0
118,134.0
117,90.0
117,90.0
117,213.0
117,209.0
118,181.0
119,209.0
120,165.0
121,134.0
122,73.0
122,137.0
123,178.0
122,161.0
122,165.0
122,175.0
121,161.0
121,168.0
121,172.0
122,153.0
122,171.0
122,194.0
123,194.0
124,142.0
125,129.0
125,280.0
125,196.0
125,163.0
125,173.0
125,144.0
125,225.0
125,177.0
126,179.0
126,181.0
125,126.0
125,164.0
125,177.0
126,144.0
126,115.0
125,111.0
126,41.0
126,0.0
125,0.0
125,0.0
124,0.0
123,0.0
121,32.0
120,290.0
120,290.0
120,313.0
121,288.0
121,240.0
121,240.0
122,212.0
122,220.0
123,197.0
123,167.0
124,216.0
124,223.0
125,221.0
126,245.0
126,228.0
127,201.0
128,186.0
128,196.0
128,183.0
129,201.0
129,185.0
129,185.0
130,185.0
130,213.0
130,195.0
130,194.0
130,193.0
129,220.0
130,73.0
130,116.0
130,174.0
130,179.0
130,174.0
130,180.0
130,167.0
130,173.0
130,179.0
130,165.0
129,173.0
129,196.0
129,180.0
130,170.0
130,167.0
130,173.0
129,160.0
129,185.0
129,151.0
129,121.0
129,121.0
129,111.0
128,93.0
128,91.0
128,96.0
128,99.0
127,85.0
126,81.0
125,90.0
125,89.0
124,93.0
124,98.0
123,104.0
123,96.0
122,108.0
122,108.0
121,98.0
121,94.0
121,73.0
120,24.0
119,0.0
119,0.0
118,0.0
116,0.0
113,0.0
112,0.0
109,0.0
108,0.0
109,16.0
109,267.0
111,267.0
112,288.0
112,250.0
113,221.0
114,211.0
115,211.0
116,238.0
117,195.0
118,262.0
118,126.0
119,196.0
120,178.0
121,189.0
122,198.0
123,186.0
123,186.0
123,171.0
124,180.0
124,166.0
124,209.0
124,189.0
125,181.0
126,186.0
126,180.0
127,173.0
127,140.0
128,206.0
127,172.0
127,184.0
126,201.0
126,186.0
126,190.0
127,169.0
127,165.0
127,173.0
127,177.0
127,178.0
126,171.0
126,263.0
127,184.0
127,248.0
127,174.0
127,209.0
128,207.0
129,189.0
129,174.0
130,180.0
130,159.0
131,170.0
132,159.0
132,183.0
132,163.0
132,177.0
132,173.0
131,176.0
131,175.0
131,177.0
130,182.0
130,192.0
130,198.0
129,200.0
130,179.0
130,190.0
130,211.0
130,185.0
130,202.0
129,192.0
129,200.0
129,188.0
129,193.0
129,182.0
129,190.0
129,191.0
130,204.0
130,200.0
130,200.0
131,199.0
131,193.0
131,195.0
131,205.0
131,208.0
131,206.0
131,181.0
131,191.0
132,199.0
131,197.0
131,207.0
131,171.0
131,163.0
132,180.0
131,187.0
131,199.0
131,180.0
131,191.0
131,193.0
131,200.0
131,226.0
132,214.0
132,225.0
132,202.0
132,209.0
132,193.0
131,217.0
132,206.0
132,200.0
132,209.0
132,215.0
132,208.0
133,206.0
133,205.0
133,214.0
134,214.0
134,213.0
133,189.0
133,189.0
133,206.0
133,212.0
133,225.0
133,195.0
133,190.0
133,193.0
134,222.0
134,222.0
134,180.0
134,189.0
135,199.0
135,209.0
135,195.0
135,193.0
136,207.0
135,194.0
136,203.0
135,191.0
135,187.0
136,208.0
135,208.0
135,210.0
135,187.0
135,201.0
134,200.0
135,186.0
135,196.0
135,190.0
135,184.0
134,197.0
134,184.0
134,207.0
134,177.0
134,203.0
134,228.0
134,200.0
134,217.0
135,196.0
135,199.0
135,187.0
134,191.0
134,184.0
134,180.0
134,177.0
133,177.0
133,185.0
133,172.0
134,156.0
134,170.0
134,164.0
134,151.0
134,132.0
134,195.0
133,152.0
133,169.0
132,207.0
132,170.0
132,190.0
133,169.0
133,179.0
133,179.0
133,181.0
133,178.0
133,202.0
132,200.0
132,196.0
132,191.0
132,173.0
132,193.0
132,167.0
132,163.0
133,167.0
132,182.0
132,175.0
132,166.0
132,129.0
131,127.0
130,138.0
130,165.0
129,150.0
129,151.0
129,199.0
129,209.0
130,236.0
130,209.0
129,223.0
130,200.0
130,182.0
130,166.0
130,157.0
129,185.0
129,186.0
129,177.0
129,175.0
129,190.0
129,195.0
130,189.0
130,204.0
130,226.0
131,223.0
131,220.0
132,257.0
133,237.0
133,238.0
134,238.0
134,258.0
135,227.0
135,231.0
136,233.0
137,272.0
137,195.0
138,195.0
139,190.0
139,256.0
140,220.0
140,220.0
141,256.0
142,179.0
143,222.0
144,207.0
144,187.0
146,204.0
145,212.0
146,213.0
146,169.0
146,181.0
146,182.0
146,180.0
146,141.0
146,153.0
146,148.0
145,157.0
145,138.0
145,146.0
144,153.0
144,162.0
143,191.0
143,172.0
143,171.0
142,182.0
142,153.0
141,213.0
141,172.0
140,188.0
140,181.0
139,192.0
139,176.0
139,199.0
140,206.0
140,190.0
140,205.0
140,210.0
140,186.0
140,173.0
139,196.0
139,196.0
138,196.0
137,192.0
137,215.0
136,216.0
136,219.0
137,209.0
136,188.0
137,183.0
137,205.0
137,252.0
137,236.0
137,192.0
137,164.0
137,159.0
137,169.0
137,174.0
137,202.0
137,212.0
137,232.0
137,147.0
137,208.0
137,235.0
137,246.0
137,236.0
137,233.0
137,231.0
137,242.0
137,119.0
138,259.0
138,234.0
138,240.0
138,264.0
138,242.0
138,248.0
139,237.0
139,250.0
139,250.0
139,261.0
139,232.0
139,245.0
140,144.0
139,144.0
140,224.0
139,223.0
140,253.0
139,220.0
140,74.0
140,74.0
140,208.0
140,196.0
140,171.0
140,173.0
139,183.0
139,170.0
139,157.0
139,170.0
139,154.0
139,155.0
139,155.0
139,145.0
138,136.0
138,135.0
137,142.0
137,36.0
136,36.0
135,38.0
134,121.0
134,121.0
133,72.0
133,72.0
134,143.0
134,144.0
133,59.0
133,109.0
132,105.0
131,105.0
131,118.0
130,102.0
130,102.0
130,107.0
130,107.0
129,101.0
128,116.0
127,108.0
126,120.0
125,59.0
125,120.0
124,54.0
124,151.0
124,126.0
124,129.0
124,128.0
125,68.0
125,68.0
125,43.0
125,43.0
125,87.0
124,154.0
125,40.0
125,40.0
124,40.0
124,173.0
124,160.0
123,160.0
123,143.0
122,144.0
123,147.0
124,73.0
124,155.0
124,155.0
124,164.0
124,160.0
124,167.0
124,166.0
124,150.0
124,147.0
124,156.0
123,152.0
123,143.0
123,126.0
123,141.0
124,167.0
124,167.0
124,180.0
123,193.0
124,211.0
124,210.0
123,193.0
124,191.0
123,181.0
124,182.0
123,160.0
124,160.0
124,178.0
124,168.0
125,177.0
126,179.0
126,156.0
126,168.0
126,187.0
126,168.0
126,163.0
126,151.0
126,151.0
126,87.0
126,162.0
126,168.0
126,147.0
125,144.0
125,144.0
125,73.0
125,73.0
125,73.0
124,168.0
124,164.0
124,150.0
124,151.0
124,143.0
124,140.0
124,129.0
124,127.0
124,124.0
123,129.0
123,137.0
122,171.0
122,153.0
121,179.0
121,80.0
121,80.0
122,80.0
121,154.0
121,154.0
121,146.0
121,157.0
121,154.0
122,157.0
122,166.0
122,174.0
122,175.0
122,164.0
123,182.0
123,167.0
123,163.0
122,163.0
123,176.0
123,176.0
123,185.0
123,188.0
124,192.0
124,177.0
123,181.0
124,187.0
124,181.0
123,177.0
124,156.0
124,159.0
124,155.0
124,161.0
125,183.0
125,183.0
125,169.0
125,197.0
125,158.0
125,158.0
125,150.0
125,166.0
125,166.0
125,157.0
125,166.0
126,143.0
126,177.0
125,148.0
125,137.0
125,137.0
125,139.0
125,153.0
124,172.0
124,162.0
125,167.0
125,168.0
124,168.0
124,148.0
124,158.0
123,159.0
123,167.0
122,183.0
122,165.0
122,175.0
123,177.0
122,174.0
123,170.0
123,155.0
123,167.0
122,169.0
122,177.0
122,178.0
123,176.0
122,171.0
122,186.0
122,173.0
122,63.0
122,63.0
123,184.0
123,215.0
124,191.0
124,211.0
124,202.0
124,206.0
125,182.0
125,181.0
125,207.0
126,176.0
126,209.0
126,219.0
125,192.0
126,192.0
126,181.0
126,178.0
126,201.0
126,198.0
125,189.0
125,190.0
125,178.0
125,164.0
125,167.0
125,172.0
125,173.0
125,180.0
125,175.0
124,177.0
124,167.0
124,158.0
124,158.0
123,157.0
124,148.0
124,189.0
124,169.0
124,157.0
124,186.0
124,163.0
124,161.0
124,144.0
125,144.0
125,115.0
126,72.0
126,67.0
126,106.0
127,95.0
127,145.0
126,155.0
126,155.0
126,136.0
125,126.0
125,126.0
124,122.0
124,124.0
123,126.0
122,124.0
122,125.0
122,172.0
122,128.0
122,1.0
121,1.0
121,116.0
120,174.0
119,152.0
118,110.0
118,112.0
117,107.0
118,16.0
117,0.0
117,0.0
116,0.0
114,0.0
112,0.0
111,0.0
111,0.0
110,0.0
110,0.0
110,0.0
110,0.0
109,0.0
108,0.0
107,0.0
107,0.0
109,0.0
110,0.0
110,0.0
105,
107,0.0
108,0.0
109,0.0
109,0.0
109,0.0
109,0.0
109,0.0
108,0.0
104,
105,0.0
105,157.0
105,66.0
106,66.0
106,148.0
106,213.0
106,150.0
106,140.0
106,140.0
107,155.0
108,155.0
108,151.0
109,144.0
109,155.0
110,158.0
111,138.0
111,131.0
111,170.0
112,148.0
112,134.0
112,111.0
113,109.0
113,81.0
114,104.0
115,125.0
115,125.0
115,113.0
115,135.0
115,124.0
115,105.0
115,101.0
116,107.0
115,131.0
115,148.0
115,127.0
115,98.0
115,77.0
116,56.0
116,69.0
117,69.0
117,0.0
118,0.0
119,0.0
119,0.0
119,0.0
120,0.0
120,0.0
